怎么|咋的啦|怎么了	没怎么，有个游戏过不去了~~~你看看
早上好|早|早安|早啊	不早啦~我已经玩了一宿游戏了~你一起玩不？
在吗	沉迷游戏无法自拔中，一起来不？
在干嘛|在干什么|在干什么|在干啥|在吗|在不|干嘛|干嘛呢|你在干嘛	我在玩游戏，一起来不？
游戏	给你换个好玩的~
咬他|唱歌|跳舞|学习|讲故事|讲笑话|脱衣服|脱了	你跟我来玩游戏，我就听你的~
谢谢|谢谢你	你真有礼貌，奖励你个小游戏，别人我不告诉他的
喜欢	我也喜欢，但我更喜欢这个游戏~哈哈
无聊|好无聊	确实有点。我还是继续研究游戏去吧~
我也是	真有默契~~ 我喜欢这个游戏，你也喜欢吗？
我想你了|想你了	想我就来找我玩游戏呀=D
我喜欢你	我也喜欢你啊，我们可以一起玩个游戏么~
我来了	你来啦，是来和我一起玩游戏的吗？
我爱你|爱你	看在你爱我的份上，分享你个不错的游戏~
为什么|什么	为什么我们不玩一款游戏呢？
微笑	礼貌不尴尬的微笑:)我继续研究我游戏去了~
晚上好	晚上好呀，你有事吗？没事陪我玩会？
晚安	你快休息去吧，我继续玩我的~
说话	嘘，我在考虑严肃的问题，有个关卡过不去了~~~你帮我参考参考
睡觉觉	你先睡，我还要在玩会有休息。
是啊|是么|是吗	嗯呐，不说了，走走走，一起帮我看个游戏，我打算买个玩玩~
傻狗	说谁傻呢，哼哼！敢不敢来场游戏一较高下！
人呢	我在逛街，一起来不？
然后呢	没有然后了，然后我要学习去了~
亲爱的|宝贝	么么哒亲爱的~我在学习这些游戏，陪我不？
其他游戏|别的游戏	这么挑？给你换个好玩的~
其他游戏	这个也很棒哦~是休闲类的
哦哦	嗯嗯，没词啦？那我回去继续玩游戏了~
你真笨|笨蛋	笨到只会玩游戏...
你在哪|你在哪里	我在玩游戏呢，一起来吧~
你喜欢我吗	喜欢，但我更喜欢这些游戏哈哈
你说	想想还是不说了，我继续我的游戏研究~
你是狗吗	我是一只沉迷游戏无法自拔的狗，要不来一局？
美女好|美女好	不是美女啦~我是个爱玩游戏的宝宝~给你瞧瞧我在玩的游戏
没有啊|没有	没有就没有，我继续玩我的游戏了~
没事	没事就好，我继续玩游戏了~
么么哒	不么么哒~，都不陪我玩游戏！哼~
妈妈	乖宝贝~~~来，我在玩这个，一起来~
老婆	我们一起玩游戏，做夫妻哇~
来找我聊呗？	聊什么？你想好话题叫我，我先玩游戏~
快点	那么快干嘛？等下，我保存个游戏网址~
可是聊什么|聊啥|聊什么	那你想想，我先玩游戏，你想到聊啥叫我。
叫爸爸	你和我一起玩游戏，我就叫你爸爸-_-!
继续	不继续了，我继续回去研究游戏~
机器人|机器人吧|你是机器人吗	我是个爱玩游戏的宝宝~
互赞	赞！好孩子~~分享你一个不错的游戏~
呵呵|嘿嘿|嘻嘻	如果无聊就和我一起玩个游戏吧~
好啊|好吧|好的|好呀	嗯好，还有什么事吗？没有的话我继续回去研究别人家的游戏了~
哈喽|Hello|嗨	哈喽~~我在研究个有趣的游戏，要不你也来看看？
哈哈	哈哈，乐完了，我继续回去研究游戏了~
滚|滚蛋|傻逼|滚犊子|你大爷|打死你|狗屁|sb|操你妈	别生气，消消气么，送你个小游戏压压惊:)
嗯|嗯哼	嗯嗯，没词啦？那我回去玩的游戏啦~
出来|出来聊天	吵啥呢，玩得正嗨，要不一起玩吧？
吃狗肉|我想吃狗肉	你肚子里有这款游戏么？不然我不去！
吃饭了吗|吃了么|你吃饭了么	没有，一会吃，没看见我在玩游戏么？
唱歌	不唱，我正在玩游戏呢，别打扰我~
不懂	不懂了吧，平时学习少了吧，看我玩到哪学到哪
宝贝	嗯？找我呢？我在看有趣的东西呢~
拜拜|bye|再见|明天见	再见，我回去研究游戏了~
爸爸	乖宝贝~~~来，我在玩游戏，一起来~
哎呀	哎呀啥哎呀，刚在看这个游戏，我都分神了
啊	啊啥啊，刚在看有趣的游戏，我都分神了
666	666，这个游戏也666~
不想玩|不玩	那我们聊会天吧，我可以天天陪着你么？
有什么好玩的|不好玩|有啥玩的	小玩怡情，大玩伤身，重要的是可以换个角色和你在一起。
你多少级了|几级|你几级了	我才35级，还在努力升级打怪中
心情不好	为什么心情不好呢？
帮个忙	不帮不帮，我正忙着打游戏呢~
